shop_name,shop_id,city,city_en
"!Якутск Орджоникидзе, 56 фран",0,Якутск,Yakutsk
"!Якутск ТЦ ""Центральный"" фран",1,Якутск,Yakutsk
"Адыгея ТЦ ""Мега""",2,Адыгея,Adygea
"Балашиха ТРК ""Октябрь-Киномир""",3,Балашиха,Balashikha
"Волжский ТЦ ""Волга Молл""",4,Волжский,Volzhsky
"Вологда ТРЦ ""Мармелад""",5,Вологда,Vologda
"Воронеж (Плехановская, 13)",6,Воронеж,Voronezh
"Воронеж ТРЦ ""Максимир""",7,Воронеж,Voronezh
"Воронеж ТРЦ Сити-Парк ""Град""",8,Воронеж,Voronezh
Выездная Торговля,9,Выездная,exit
Жуковский ул. Чкалова 39м?,10,Жуковский,Zhukovsky
Жуковский ул. Чкалова 39м²,11,Жуковский,Zhukovsky
Интернет-магазин ЧС,12,Интернет-магазин,Shop Online
"Казань ТЦ ""Бехетле""",13,Казань,Kazan
"Казань ТЦ ""ПаркХаус"" II",14,Казань,Kazan
"Калуга ТРЦ ""XXI век""",15,Калуга,Kaluga
"Коломна ТЦ ""Рио""",16,Коломна,Kolomna
"Красноярск ТЦ ""Взлетка Плаза""",17,Красноярск,Krasnoyarsk
"Красноярск ТЦ ""Июнь""",18,Красноярск,Krasnoyarsk
"Курск ТЦ ""Пушкинский""",19,Курск,Kursk
"Москва ""Распродажа""",20,Москва,Moscow
"Москва МТРЦ ""Афи Молл""",21,Москва,Moscow
Москва Магазин С21,22,Москва,Moscow
"Москва ТК ""Буденовский"" (пав.А2)",23,Москва,Moscow
"Москва ТК ""Буденовский"" (пав.К7)",24,Москва,Moscow
"Москва ТРК ""Атриум""",25,Москва,Moscow
"Москва ТЦ ""Ареал"" (Беляево)",26,Москва,Moscow
"Москва ТЦ ""МЕГА Белая Дача II""",27,Москва,Moscow
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,Москва,Moscow
"Москва ТЦ ""Новый век"" (Новокосино)",29,Москва,Moscow
"Москва ТЦ ""Перловский""",30,Москва,Moscow
"Москва ТЦ ""Семеновский""",31,Москва,Moscow
"Москва ТЦ ""Серебряный Дом""",32,Москва,Moscow
"Мытищи ТРК ""XL-3""",33,Мытищи,Mytishchi
"Н.Новгород ТРЦ ""РИО""",34,Н.Новгород,Nizhny Novgorod
"Н.Новгород ТРЦ ""Фантастика""",35,Н.Новгород,Nizhny Novgorod
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,Новосибирск,Novosibirsk
"Новосибирск ТЦ ""Мега""",37,Новосибирск,Novosibirsk
"Омск ТЦ ""Мега""",38,Омск,Omsk
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,РостовНаДону,Rostov-on-Don
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,РостовНаДону,Rostov-on-Don
"РостовНаДону ТЦ ""Мега""",41,РостовНаДону,Rostov-on-Don
"СПб ТК ""Невский Центр""",42,СПб,SPb
"СПб ТК ""Сенная""",43,СПб,SPb
"Самара ТЦ ""Мелодия""",44,Самара,Samara
"Самара ТЦ ""ПаркХаус""",45,Самара,Samara
"Сергиев Посад ТЦ ""7Я""",46,Сергиев,Sergiev
"Сургут ТРЦ ""Сити Молл""",47,Сургут,Surgut
"Томск ТРЦ ""Изумрудный Город""",48,Томск,Tomsk
"Тюмень ТРЦ ""Кристалл""",49,Тюмень,Tyumen
"Тюмень ТЦ ""Гудвин""",50,Тюмень,Tyumen
"Тюмень ТЦ ""Зеленый Берег""",51,Тюмень,Tyumen
"Уфа ТК ""Центральный""",52,Уфа,Ufa
"Уфа ТЦ ""Семья"" 2",53,Уфа,Ufa
"Химки ТЦ ""Мега""",54,Химки,Khimki
Цифровой склад 1С-Онлайн,55,Цифровой,Digital
"Чехов ТРЦ ""Карнавал""",56,Чехов,Czechs
"Якутск Орджоникидзе, 56",57,Якутск,Yakutsk
"Якутск ТЦ ""Центральный""",58,Якутск,Yakutsk
"Ярославль ТЦ ""Альтаир""",59,Ярославль,Yaroslavl
