,shop_name,shop_id,city,city2
0,"!Якутск Орджоникидзе, 56 фран",0,Якутск,Yakutsk
1,"!Якутск ТЦ ""Центральный"" фран",1,Якутск,Yakutsk
2,"Адыгея ТЦ ""Мега""",2,Адыгея,Adygea
3,"Балашиха ТРК ""Октябрь-Киномир""",3,Балашиха,Balashikha
4,"Волжский ТЦ ""Волга Молл""",4,Волжский,Volzhsky
5,"Вологда ТРЦ ""Мармелад""",5,Вологда,Vologda
6,"Воронеж (Плехановская, 13)",6,Воронеж,Voronezh
7,"Воронеж ТРЦ ""Максимир""",7,Воронеж,Voronezh
8,"Воронеж ТРЦ Сити-Парк ""Град""",8,Воронеж,Voronezh
9,Выездная Торговля,9,Выездная,exit
10,Жуковский ул. Чкалова 39м?,10,Жуковский,Zhukovsky
11,Жуковский ул. Чкалова 39м²,11,Жуковский,Zhukovsky
12,Интернет-магазин ЧС,12,Интернет-магазин,Shop Online
13,"Казань ТЦ ""Бехетле""",13,Казань,Kazan
14,"Казань ТЦ ""ПаркХаус"" II",14,Казань,Kazan
15,"Калуга ТРЦ ""XXI век""",15,Калуга,Kaluga
16,"Коломна ТЦ ""Рио""",16,Коломна,Kolomna
17,"Красноярск ТЦ ""Взлетка Плаза""",17,Красноярск,Krasnoyarsk
18,"Красноярск ТЦ ""Июнь""",18,Красноярск,Krasnoyarsk
19,"Курск ТЦ ""Пушкинский""",19,Курск,Kursk
20,"Москва ""Распродажа""",20,Москва,Moscow
21,"Москва МТРЦ ""Афи Молл""",21,Москва,Moscow
22,Москва Магазин С21,22,Москва,Moscow
23,"Москва ТК ""Буденовский"" (пав.А2)",23,Москва,Moscow
24,"Москва ТК ""Буденовский"" (пав.К7)",24,Москва,Moscow
25,"Москва ТРК ""Атриум""",25,Москва,Moscow
26,"Москва ТЦ ""Ареал"" (Беляево)",26,Москва,Moscow
27,"Москва ТЦ ""МЕГА Белая Дача II""",27,Москва,Moscow
28,"Москва ТЦ ""МЕГА Теплый Стан"" II",28,Москва,Moscow
29,"Москва ТЦ ""Новый век"" (Новокосино)",29,Москва,Moscow
30,"Москва ТЦ ""Перловский""",30,Москва,Moscow
31,"Москва ТЦ ""Семеновский""",31,Москва,Moscow
32,"Москва ТЦ ""Серебряный Дом""",32,Москва,Moscow
33,"Мытищи ТРК ""XL-3""",33,Мытищи,Mytishchi
34,"Н.Новгород ТРЦ ""РИО""",34,Н.Новгород,Nizhny Novgorod
35,"Н.Новгород ТРЦ ""Фантастика""",35,Н.Новгород,Nizhny Novgorod
36,"Новосибирск ТРЦ ""Галерея Новосибирск""",36,Новосибирск,Novosibirsk
37,"Новосибирск ТЦ ""Мега""",37,Новосибирск,Novosibirsk
38,"Омск ТЦ ""Мега""",38,Омск,Omsk
39,"РостовНаДону ТРК ""Мегацентр Горизонт""",39,РостовНаДону,Rostov-on-Don
40,"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,РостовНаДону,Rostov-on-Don
41,"РостовНаДону ТЦ ""Мега""",41,РостовНаДону,Rostov-on-Don
42,"СПб ТК ""Невский Центр""",42,СПб,SPb
43,"СПб ТК ""Сенная""",43,СПб,SPb
44,"Самара ТЦ ""Мелодия""",44,Самара,Samara
45,"Самара ТЦ ""ПаркХаус""",45,Самара,Samara
46,"Сергиев Посад ТЦ ""7Я""",46,Сергиев,Sergiev
47,"Сургут ТРЦ ""Сити Молл""",47,Сургут,Surgut
48,"Томск ТРЦ ""Изумрудный Город""",48,Томск,Tomsk
49,"Тюмень ТРЦ ""Кристалл""",49,Тюмень,Tyumen
50,"Тюмень ТЦ ""Гудвин""",50,Тюмень,Tyumen
51,"Тюмень ТЦ ""Зеленый Берег""",51,Тюмень,Tyumen
52,"Уфа ТК ""Центральный""",52,Уфа,Ufa
53,"Уфа ТЦ ""Семья"" 2",53,Уфа,Ufa
54,"Химки ТЦ ""Мега""",54,Химки,Khimki
55,Цифровой склад 1С-Онлайн,55,Цифровой,Digital
56,"Чехов ТРЦ ""Карнавал""",56,Чехов,Czechs
57,"Якутск Орджоникидзе, 56",57,Якутск,Yakutsk
58,"Якутск ТЦ ""Центральный""",58,Якутск,Yakutsk
59,"Ярославль ТЦ ""Альтаир""",59,Ярославль,Yaroslavl
